genes	predicted_functions
lrrc6	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
tgfb2	uberon_0000033:13.3468121246,uberon_0009124:0.00788252495073,uberon_0001944:0.00788252495073
tgfb3	uberon_0000033:3.05783360895,uberon_0009124:0.00775538745153,uberon_0001944:0.00775538745153
rpa1	uberon_0000033:14.9182297914,uberon_0009124:0.0172906998919,uberon_0001944:0.0172906998919
copb1	uberon_0000033:9.68069639248,uberon_0009124:0.00317843748013,uberon_0001944:0.00317843748013
dyrk2	uberon_0000033:0.402273795643,uberon_0009124:0.00177992498888,uberon_0001944:0.00177992498888
tshr	uberon_0000033:0.13509299944,uberon_0009124:0.0110609624309,uberon_0001944:0.0110609624309
cplx4a	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
pomt2	uberon_0000033:2.58481519621,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
ncapd2	uberon_0000033:115.425366381,uberon_0009124:0.00584832496345,uberon_0001944:0.00584832496345
lztfl1	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
fitm2	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
kank3	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
prdm1a	uberon_0000033:9.81402382874,uberon_0009124:0.00597546246265,uberon_0001944:0.00597546246265
mphosph10	uberon_0000033:273.580695803,uberon_0009124:0.0152564999046,uberon_0001944:0.0152564999046
lfng	uberon_0000033:0.0163133085589,uberon_0009124:0.00292416248172,uberon_0001944:0.00292416248172
pdcd10a	uberon_0009124:0.00317843748013,uberon_0001944:0.00317843748013,uberon_0000033:0.00195885095578
pdcd10b	uberon_0000033:0.00724251242143,uberon_0009124:0.00305129998093,uberon_0001944:0.00305129998093
nsfb	uberon_0000033:1.58053878986,uberon_0009124:0.0095353124404,uberon_0001944:0.0095353124404
nsfa	uberon_0000033:0.0769250844061,uberon_0009124:0.0115695124277,uberon_0001944:0.0115695124277
vars	uberon_0000033:47.1815789606,uberon_0009124:0.00597546246265,uberon_0001944:0.00597546246265
amotl2a	uberon_0000033:2.79908710952,uberon_0009124:0.00216133748649,uberon_0001944:0.00216133748649
amotl2b	uberon_0000033:3.14510150514,uberon_0009124:0.00203419998729,uberon_0001944:0.00203419998729
rabgef1	uberon_0000033:0.00724251242143,uberon_0009124:0.00305129998093,uberon_0001944:0.00305129998093
raf1a	uberon_0000033:5.42306215302,uberon_0009124:0.00991672493802,uberon_0001944:0.00991672493802
tlr4bb	uberon_0009124:77.4620815619,uberon_0000033:1.29083551551,uberon_0001944:0.0125866124213
eya4	uberon_0000033:1.3051273685,uberon_0009124:0.00521263746742,uberon_0001944:0.00521263746742
adcyap1a	uberon_0000033:0.0325803022999,uberon_0009124:0.0110609624309,uberon_0001944:0.0110609624309
hoxa13b	uberon_0000033:13.6790347902,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
eya1	uberon_0000033:1.21346855289,uberon_0009124:0.00533977496663,uberon_0001944:0.00533977496663
bap1	uberon_0000033:17.1010272695,uberon_0009124:0.00826393744835,uberon_0001944:0.00826393744835
tbpl2	uberon_0000033:4.117705001,uberon_0009124:0.00889962494438,uberon_0001944:0.00889962494438
acvrl1	uberon_0000033:6.83951739508,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
axin1	uberon_0000033:15.8508263373,uberon_0009124:0.0222490623609,uberon_0001944:0.0222490623609
mns1	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
mcm7	uberon_0000033:76.3896377702,uberon_0009124:0.0138579874134,uberon_0001944:0.0138579874134
mcm5	uberon_0000033:98.9735740435,uberon_0009124:0.0378869747632,uberon_0001944:0.0378869747632
mcm3	uberon_0000033:57.2761238339,uberon_0009124:0.0155107749031,uberon_0001944:0.0155107749031
mcm2	uberon_0000033:80.8065726499,uberon_0009124:0.0165278748967,uberon_0001944:0.0165278748967
mapkapk2a	uberon_0000033:0.736488070247,uberon_0009124:0.00610259996186,uberon_0001944:0.00610259996186
clu	uberon_0000033:0.0479803818049,uberon_0009124:0.00266988748331,uberon_0001944:0.00266988748331
fbxw4	uberon_0000033:6.82521490708,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
foxp2	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
vps45	uberon_0000033:0.0696907326292,uberon_0009124:0.00432267497298,uberon_0001944:0.00432267497298
gja3	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
