function	number_of_genes	ROC_auc	PR_auc
uberon_0000019	1097	0.656802519	0.475885569
uberon_0000017	62	0.735557477	0.072803596
uberon_0000016	23	0.667960589	0.045477939
uberon_0000013	2	0.493635978	0.000212044
uberon_0000010	3	0.451825127	0.000424088
uberon_0005515	13	0.679418869	0.094692161
uberon_2005304	1	0.480907934	0.000212044
uberon_0011944	36	0.614574851	0.02046003
uberon_0006284	18	0.680268985	0.021569625
uberon_0000151	172	0.664995609	0.110769426
uberon_0008913	3	1	0.666878711
uberon_0003832	1	0.5	0.000212044
uberon_0008911	91	0.708395386	0.155371666
uberon_0002370	19	0.588945796	0.045150314
uberon_0011004	31	0.525743146	0.009667719
uberon_0001771	11	0.482993197	0.001272265
uberon_0003957	1	0.492999576	0.000212044
uberon_0001772	7	0.825751134	0.384202395
uberon_0004121	108	0.493287262	0.04137501
uberon_0001777	5	0.896047599	0.488483649
uberon_0003107	163	0.654251278	0.118265802
uberon_0001672	2	0.482809847	0.000424088
uberon_0001675	13	0.457623509	0.002120441
uberon_0000926	52	0.668240494	0.105873312
uberon_2007054	5	0.485768904	0.000848176
uberon_2007055	6	0.490870488	0.000636132
uberon_2007050	1	0.499575732	0.000212044
uberon_2001480	1	0.5	0.000212044
uberon_2007052	5	0.480237994	0.001060221
uberon_0004185	107	0.662316707	0.056582809
uberon_3000977	10	0.477021277	0.001696353
uberon_0010711	2	0.497454391	0.000212044
uberon_0010710	3	0.488539898	0.000424088
uberon_2001242	1	0.49893933	0.000212044
uberon_2001241	1	0.49893933	0.000212044
uberon_0011649	3	0.494482173	0.000424088
uberon_0000054	3	0.493418259	0.000636132
uberon_2007046	2	0.484295416	0.000424088
uberon_2000408	1	0.499575732	0.000212044
uberon_0013755	1	0.498302927	0.000212044
uberon_2000976	1	0.498727196	0.000212044
uberon_2000977	1	0.498727196	0.000212044
uberon_2000974	1	0.498727196	0.000212044
uberon_0003473	61	0.714651921	0.067971238
uberon_2005000	3	0.493418259	0.000636132
uberon_0013757	1	0.499787866	0.000212044
uberon_2002192	5	0.793752656	0.242685993
uberon_2002193	4	0.494055202	0.000636132
uberon_2000978	1	0.498727196	0.000212044
uberon_0004339	2	0.492151039	0.000212044
uberon_0003306	2	0.49172326	0.000424088
uberon_0001178	1	0.495757319	0.000212044
uberon_0007298	20	0.691836571	0.101347341
uberon_0003714	66	0.659684507	0.050660863
uberon_0000203	2	0.494057725	0.000424088
uberon_2005224	3	0.499787866	0.000212044
uberon_2005227	3	0.493633277	0.000424088
uberon_0004807	1	0.499151464	0.000212044
uberon_2005221	1	0.499787866	0.000212044
uberon_2005220	3	0.496390658	0.000636132
uberon_2005223	4	0.495753715	0.000636132
uberon_0001174	1	0.496181587	0.000212044
uberon_0001076	2	0.494269949	0.000424088
uberon_0001074	15	0.503001476	0.005938235
uberon_0001075	7	0.491496599	0.001272265
uberon_0010931	2	0.496816638	0.000424088
uberon_0003097	22	0.591929525	0.075799013
uberon_2001430	2	0.486629881	0.000424088
uberon_0003524	137	0.622543796	0.078299723
uberon_0004152	16	0.496971072	0.009992246
uberon_0006183	10	0.488312792	0.001060221
uberon_0003278	94	0.52554572	0.027307625
uberon_2000498	6	0.492141037	0.000848176
uberon_2002223	3	0.473460722	0.000636132
uberon_0001083	11	0.469162059	0.001484309
uberon_2002225	1	0.49427238	0.000212044
uberon_0001081	2	0.496604414	0.000424088
uberon_0002020	1	0.499575732	0.000212044
uberon_0002533	39	0.797613929	0.173542852
uberon_0002531	20	0.766364393	0.069266439
uberon_0002025	3	0.491719745	0.000636132
uberon_0002028	211	0.66570162	0.123567798
uberon_0002538	14	0.481512962	0.001060221
uberon_0002539	42	0.614864777	0.024435906
uberon_0005419	17	0.777897831	0.059681875
uberon_0005310	41	0.542925236	0.016695014
uberon_0005256	12	0.750042589	0.02245667
uberon_0005253	1	0.495120916	0.000212044
uberon_0003258	1	0	0
uberon_0001785	52	0.717318496	0.075284786
uberon_0006011	1	0.497454391	0.000212044
uberon_0009635	13	0.618507185	0.151119298
uberon_0010321	10	0.689820727	0.023362235
uberon_0010323	88	0.648090523	0.04184611
uberon_0034763	8	0.492147708	0.000424088
uberon_0003098	13	0.590416726	0.024188377
uberon_0003099	14	0.572657581	0.01600806
uberon_2001297	1	0.490878235	0.000212044
uberon_0002323	1	0.493423844	0.000212044
uberon_2001293	1	0.496393721	0.000212044
uberon_0001649	2	0.973047538	0.008579974
uberon_0009141	1	0.497878659	0.000212044
uberon_2001298	1	0.490878235	0.000212044
uberon_2001299	1	0.490878235	0.000212044
uberon_0002328	282	0.643307628	0.22714504
uberon_0004479	61	0.774403742	0.145435121
uberon_2001054	8	0.612748375	0.010684645
uberon_2001055	4	0.464543524	0.000636132
uberon_2001052	9	0.64824263	0.020470548
uberon_2001051	2	0.496179966	0.000424088
uberon_0004473	5	0.480662983	0.001060221
uberon_2001594	3	0.491082803	0.000636132
uberon_0003406	98	0.662064535	0.070230825
uberon_0002120	142	0.688504438	0.281108577
uberon_0001854	1	0.493848112	0.000212044
uberon_0003104	6	0.722257653	0.018437724
uberon_0004573	61	0.706206466	0.067137331
uberon_0003898	1	0.487271956	0.000212044
uberon_0001853	4	0.482795242	0.000848176
uberon_0003894	7	0.49064228	0.001484309
uberon_0003895	1	0.487271956	0.000212044
uberon_0003106	1	0.49893933	0.000212044
uberon_0005410	4	0.493418259	0.000636132
uberon_0015178	57	0.699002665	0.108723691
uberon_0001628	1	0.499363598	0.000212044
uberon_0002432	1	0.49533305	0.000212044
uberon_4000174	8	0.628577505	0.361179268
uberon_0002437	23	0.731493352	0.029647929
uberon_0004742	8	0.616789208	0.014020674
uberon_2001232	29	0.491709184	0.001272265
uberon_0003102	435	0.534553469	0.081871758
uberon_0004740	15	0.475074563	0.002332485
uberon_0006222	1	0.487696224	0.000212044
uberon_0006553	50	0.656487294	0.067624504
uberon_4000163	28	0.589252959	0.049567511
uberon_2001231	30	0.473840919	0.001484309
uberon_4000162	2	0.498514431	0.000424088
uberon_0007812	685	0.597765662	0.269845224
uberon_4000177	4	0.497665535	0.000424088
uberon_2001200	3	0.830290163	0.173624743
uberon_2005049	1	0.497878659	0.000212044
uberon_2000939	1	0.485574883	0.000212044
uberon_0002290	1	0.478786593	0.000212044
uberon_4000167	3	0.499787866	0.000212044
uberon_0004376	14	0.656128108	0.019176234
uberon_0003439	4	0.71728972	0.010287907
uberon_0004375	15	0.638141983	0.01812051
uberon_0005177	67	0.545814524	0.014502395
uberon_0004749	3	0.495118846	0.000424088
uberon_2001850	4	0.709483857	0.008166857
uberon_0001928	4	0.872663551	0.372580465
uberon_0005075	5	0.823566879	0.035003943
uberon_0012438	61	0.476635514	0.000848176
uberon_0004733	27	0.736164667	0.046220085
uberon_2000309	1	0.5	0.000212044
uberon_2000088	17	0.460341151	0.002756573
uberon_2000089	4	0.828450106	0.089160563
uberon_3000982	9	0.482993197	0.001272265
uberon_0001700	5	0.477688058	0.001060221
uberon_0000935	23	0.731493352	0.029647929
uberon_0000936	6	0.650368481	0.046080007
uberon_0001703	34	0.414470639	0.007113015
uberon_0004291	18	0.626491947	0.031587525
uberon_0000931	7	0.768821778	0.056244234
uberon_2000084	255	0.715413056	0.276829096
uberon_0000933	12	0.706963373	0.034532741
uberon_2007008	2	0.484083192	0.000424088
uberon_0011677	5	0.488312792	0.001060221
uberon_2001472	9	0.663153421	0.008901788
uberon_0008993	2	0.486211286	0.000212044
uberon_2001278	3	0.978485492	0.018652518
uberon_2001279	2	0.49321171	0.000212044
uberon_0013703	3	0.49447983	0.000636132
uberon_2001277	1	0.486847688	0.000212044
uberon_0004363	13	0.456540264	0.002332485
