zfin_id	gene_name	ensemble_id	uberon_annotations
zdb-gene-090211-5	psm5	not_found	uberon_0000033,uberon_0010314,uberon_0000468,uberon_0002100
zdb-gene-090211-6	psm6	not_found	uberon_0008823,uberon_0000491,uberon_0000480,uberon_0000468,uberon_0001945,uberon_0002100,uberon_0000033,uberon_0002107,uberon_0001017,uberon_0010314,uberon_0001016,uberon_0005057
zdb-gene-090211-7	psm7	not_found	uberon_0001708,uberon_0000467,uberon_0000477,uberon_0001774,uberon_0000479,uberon_0000491,uberon_0000480,uberon_0000468,uberon_0004479,uberon_2000084,uberon_0000033,uberon_0002107,uberon_0002100,uberon_0005057
zdb-gene-040426-1810	insm1a	ensdarg00000091756	uberon_0000489,uberon_0000019,uberon_0000480,uberon_0001790,uberon_0000957
zdb-gene-040426-1818	ino80e	ensdarg00000022939	uberon_0007812,uberon_0012275,uberon_0008823,uberon_0000468,uberon_0005598
zdb-gene-990415-90	her5	ensdarg00000008796	uberon_0000491,uberon_0000481,uberon_0002394,uberon_0001264,uberon_0002107,uberon_0007329,uberon_0005057
zdb-gene-990415-93	serpinh1b	ensdarg00000019949	uberon_0008897,uberon_0000479,uberon_2001269,uberon_0003102
zdb-gene-990415-92	hspa8	ensdarg00000068992	uberon_0001555,uberon_0003052,uberon_0000477,uberon_0008823,uberon_0000491,uberon_0011610,uberon_2000084,uberon_2000106,uberon_0001016,uberon_0001017,uberon_0000019,uberon_0000033,uberon_0002107,uberon_0002100,uberon_0002028,uberon_0000480,uberon_0005886,uberon_0006800,uberon_0003107,uberon_0002422,uberon_0010323,uberon_0001434,uberon_0005057
zdb-gene-990415-95	hsp90ab1	ensdarg00000029150	uberon_0012275,uberon_2005025,uberon_0000480,uberon_0000481,uberon_0000468,uberon_0002049,uberon_0000033,uberon_0014907,uberon_0010314,uberon_0005598
zdb-gene-990415-94	hsp90aa1.1	ensdarg00000010478	uberon_0002407,uberon_0000933,uberon_0004479,uberon_0003831,uberon_0001774,uberon_0012275,uberon_0000077,uberon_0000033,uberon_0003082,uberon_0013765,uberon_0010314,uberon_0000467,uberon_0005598,uberon_0000480,uberon_0000468,uberon_0011648,uberon_0007812,uberon_0000042,uberon_0004253,uberon_0005291
zdb-gene-990415-96	id1	ensdarg00000040764	uberon_0004573
zdb-gene-030131-5045	cnbpa	ensdarg00000045776	uberon_0003052,uberon_0000477,uberon_0002407,uberon_0011610,uberon_0000479,uberon_0008823,uberon_0000019,uberon_0004362,uberon_0003406,uberon_0001890,uberon_0004124,uberon_0004119,uberon_0004752,uberon_0003066,uberon_0002028,uberon_0001891,uberon_0011607,uberon_0000480,uberon_0000468,uberon_0000966,uberon_0008895,uberon_2001516,uberon_0007812,uberon_0000042,uberon_0008896,uberon_0006800,uberon_0003107,uberon_0011242
zdb-gene-070117-1016	unm_t30654	not_found	uberon_0004141,uberon_0000489
zdb-gene-070117-1541	unm_t30794	not_found	uberon_0004141,uberon_0000489
zdb-gene-070117-1014	unm_t30381	not_found	uberon_0004141,uberon_0000489
zdb-gene-070117-1015	unm_t30353	not_found	uberon_0004141,uberon_0000489
zdb-gene-070117-1012	unm_t30134	not_found	uberon_0004120
zdb-gene-070117-1545	unm_t30244	not_found	uberon_0008823
zdb-gene-070117-1546	unm_t30215	not_found	uberon_0002328
zdb-gene-070117-1011	unm_t30501	not_found	uberon_0004120
zdb-gene-070117-1548	unm_t30980	not_found	uberon_0000489,uberon_0000019
zdb-gene-070117-1549	unm_t30978	not_found	uberon_0000489,uberon_0000019
zdb-gene-070117-1018	unm_t30411	not_found	uberon_0004141,uberon_0000489
zdb-gene-070117-1019	unm_t30875	not_found	uberon_0004141,uberon_0000489
zdb-gene-080204-54	hmx1	ensdarg00000095651	uberon_0000489,uberon_0000019,uberon_0000480,uberon_0000965,uberon_0001782,uberon_0003902
zdb-gene-111103-2	unm_m1147	not_found	uberon_0004121
zdb-gene-030131-5455	dnajb1b	ensdarg00000041394	uberon_0000965,uberon_0000479,uberon_0000489,uberon_0000019
zdb-gene-131024-4	not_found	not_found	uberon_0004120
zdb-gene-030131-8442	eif3d	ensdarg00000021257	uberon_0001555,uberon_0002407,uberon_0000019,uberon_0000491,uberon_0000480,uberon_0000042,uberon_2000084,uberon_0000468,uberon_0000948,uberon_0000033,uberon_0002107,uberon_0001017,uberon_0008823,uberon_0001016,uberon_0005057
zdb-gene-050213-1	slc35b2	ensdarg00000007886	uberon_0001708,uberon_0002222,uberon_0004119,uberon_2000250,uberon_0001016,uberon_0003931,uberon_0003933,uberon_2001239,uberon_0000151,uberon_0013765,uberon_0008911,uberon_0004741,uberon_0001893,uberon_0000480,uberon_0005886,uberon_0000468,uberon_0005884,uberon_0002514,uberon_0004376,uberon_0004375,uberon_0003457,uberon_0003102,uberon_0003103,uberon_0001908
zdb-gene-050208-244	pacs1a	ensdarg00000044556	uberon_0002120,uberon_0000468,uberon_0008823
zdb-gene-070820-10	lig4	ensdarg00000060620	uberon_0002199
zdb-gene-041114-119	pomk	ensdarg00000003208	uberon_0005598,uberon_0000468,uberon_0000033,uberon_0007812,uberon_0001630,uberon_0010314,uberon_0012275
zdb-gene-020515-1	id3	ensdarg00000054823	uberon_0003052,uberon_0008823,uberon_0001945,uberon_0006800,uberon_0000033,uberon_2000633,uberon_0002422,uberon_0002100
